zona_id,I03,nombre_cne,tipo_cne
50-433,50,La Ecuatoriana,URBANA
50-434,50,La Ecuatoriana,URBANA
50-435,50,Guamani,URBANA
50-436,50,Guamani,URBANA
50-437,50,Guamani,URBANA
50-438,50,Guamani,URBANA
50-439,50,Turubamba,URBANA
50-440,50,Turubamba,URBANA
50-441,50,Turubamba,URBANA
50-442,50,Quitumbe,URBANA
50-443,50,Quitumbe,URBANA
50-444,50,Quitumbe,URBANA
50-445,50,Turubamba,URBANA
50-446,50,Turubamba,URBANA
50-447,50,Turubamba,URBANA
50-448,50,Turubamba,URBANA
50-449,50,Turubamba,URBANA
50-450,50,Turubamba,URBANA
50-451,50,Guamani,URBANA
50-452,50,Guamani,URBANA
50-453,50,Guamani,URBANA
50-454,50,Guamani,URBANA
50-455,50,Guamani,URBANA
50-456,50,Guamani,URBANA
50-457,50,Guamani,URBANA
50-458,50,Guamani,URBANA
50-459,50,Guamani,URBANA
50-460,50,La Ecuatoriana,URBANA
50-461,50,La Ecuatoriana,URBANA
50-462,50,La Ecuatoriana,URBANA
50-463,50,Guamani,URBANA
50-464,50,Guamani,URBANA
50-465,50,Guamani,URBANA
50-466,50,Guamani,URBANA
50-467,50,Guamani,URBANA
50-468,50,Guamani,URBANA
50-469,50,Guamani,URBANA
50-470,50,Turubamba,URBANA
50-471,50,Turubamba,URBANA
50-472,50,Turubamba,URBANA
50-473,50,Turubamba,URBANA
50-474,50,Turubamba,URBANA
50-475,50,Turubamba,URBANA
50-476,50,Turubamba,URBANA
50-477,50,Turubamba,URBANA
50-478,50,Turubamba,URBANA
50-479,50,Turubamba,URBANA
50-480,50,Turubamba,URBANA
50-481,50,Turubamba,URBANA
50-482,50,Turubamba,URBANA
50-483,50,Turubamba,URBANA
50-484,50,Turubamba,URBANA
50-485,50,Turubamba,URBANA
50-486,50,Guamani,URBANA
50-487,50,Guamani,URBANA
50-488,50,Guamani,URBANA
50-489,50,Guamani,URBANA
50-490,50,Guamani,URBANA
50-491,50,Guamani,URBANA
50-492,50,Guamani,URBANA
50-493,50,Guamani,URBANA
50-494,50,Guamani,URBANA
50-495,50,Guamani,URBANA
50-496,50,Guamani,URBANA
50-497,50,Turubamba,URBANA
50-498,50,Turubamba,URBANA
50-499,50,Turubamba,URBANA
50-903,50,El Condado,URBANA
50-904,50,El Condado,URBANA
50-916,50,El Condado,URBANA
50-950,50,Iñaquito,URBANA
50-999,50,San Juan,URBANA
51-001,51,Alangasi,RURAL
51-905,51,Alangasi,RURAL
51-906,51,Alangasi,RURAL
51-907,51,Alangasi,RURAL
51-908,51,Alangasi,RURAL
51-909,51,Alangasi,RURAL
51-999,51,Alangasi,RURAL
52-001,52,Amaguaña,RURAL
52-002,52,Amaguaña,RURAL
52-003,52,Amaguaña,RURAL
52-902,52,Amaguaña,RURAL
52-903,52,Amaguaña,RURAL
52-904,52,Amaguaña,RURAL
52-910,52,Amaguaña,RURAL
52-911,52,Amaguaña,RURAL
52-912,52,Amaguaña,RURAL
52-914,52,Amaguaña,RURAL
52-932,52,Amaguaña,RURAL
52-939,52,Amaguaña,RURAL
52-999,52,Amaguaña,RURAL
53-001,53,Atahualpa /Habaspamba,RURAL
53-999,53,Atahualpa /Habaspamba,RURAL
54-001,54,Calacali,RURAL
54-999,54,Calacali,RURAL
55-001,55,Calderon,RURAL
55-002,55,Calderon,RURAL
55-003,55,Calderon,RURAL
55-004,55,Calderon,RURAL
55-005,55,Calderon,RURAL
55-006,55,Calderon,RURAL
55-007,55,Calderon,RURAL
55-008,55,Calderon,RURAL
55-009,55,Calderon,RURAL
55-010,55,Calderon,RURAL
55-011,55,Calderon,RURAL
55-012,55,Calderon,RURAL
55-013,55,Calderon,RURAL
55-014,55,Calderon,RURAL
55-015,55,Calderon,RURAL
55-016,55,Calderon,RURAL
55-017,55,Calderon,RURAL
55-018,55,Calderon,RURAL
55-019,55,Calderon,RURAL
55-020,55,Calderon,RURAL
55-021,55,Calderon,RURAL
55-022,55,Calderon,RURAL
55-023,55,Calderon,RURAL
55-024,55,Calderon,RURAL
55-025,55,Calderon,RURAL
55-026,55,Calderon,RURAL
55-027,55,Calderon,RURAL
55-028,55,Calderon,RURAL
55-029,55,Calderon,RURAL
55-030,55,Calderon,RURAL
55-031,55,Calderon,RURAL
55-032,55,Calderon,RURAL
55-033,55,Calderon,RURAL
55-034,55,Calderon,RURAL
55-035,55,Calderon,RURAL
55-036,55,Calderon,RURAL
55-037,55,Calderon,RURAL
55-038,55,Calderon,RURAL
55-039,55,Calderon,RURAL
55-040,55,Calderon,RURAL
55-041,55,Calderon,RURAL
55-042,55,Calderon,RURAL
55-043,55,Calderon,RURAL
55-044,55,Calderon,RURAL
55-045,55,Calderon,RURAL
55-046,55,Calderon,RURAL
55-047,55,Calderon,RURAL
55-048,55,Calderon,RURAL
55-049,55,Calderon,RURAL
55-050,55,Calderon,RURAL
55-051,55,Calderon,RURAL
55-052,55,Calderon,RURAL
55-053,55,Calderon,RURAL
55-902,55,Calderon,RURAL
55-999,55,Calderon,RURAL
56-001,56,Conocoto,RURAL
56-002,56,Conocoto,RURAL
56-003,56,Conocoto,RURAL
56-004,56,Conocoto,RURAL
56-005,56,Conocoto,RURAL
56-006,56,Conocoto,RURAL
56-007,56,Conocoto,RURAL
56-008,56,Conocoto,RURAL
56-009,56,Conocoto,RURAL
56-010,56,Conocoto,RURAL
56-011,56,Conocoto,RURAL
56-012,56,Conocoto,RURAL
