zona_id,censo_internet_pct,censo_analf_digital_pct,censo_discapacidad_pct,censo_educ_superior_pct,censo_ocupacion_directiva_pct,censo_ocupacion_elemental_pct,censo_etnia_indigena_pct,censo_etnia_afro_pct,censo_etnia_montubio_pct,censo_etnia_mestizo_pct,censo_etnia_blanco_pct,censo_etnia_otro_pct,censo_agua_red_pct,censo_alcantarillado_pct,censo_electricidad_pct,censo_deficit_habitacional_pct,censo_vivienda_propia_pct,censo_internet_fijo_pct,censo_computadora_pct,censo_auto_pct,censo_hacinamiento_pct
63-888,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.3333333333333333,0.25,0.16666666666666666,0.0,0.5833333333333334,0.0,0.0,0.4,0.4,1.0,0.2,0.6,0.4,0.2,0.4,0.0
63-902,0.67618332081142,0.10743801652892562,0.0608564988730278,0.12396694214876033,0.04282494365138993,0.3178061607813674,0.14425244177310292,0.059353869271224644,0.015777610818933134,0.763335837716003,0.01728024042073629,0.0,0.9203747072599532,0.7072599531615925,0.9976580796252927,0.13817330210772832,0.4195804195804196,0.6153846153846154,0.34965034965034963,0.25874125874125875,0.07459207459207459
63-905,0.6521739130434783,0.11594202898550725,0.057971014492753624,0.2318840579710145,0.028985507246376812,0.30434782608695654,0.0,0.0,0.0,0.9710144927536232,0.028985507246376812,0.0,0.967741935483871,1.0,1.0,0.1935483870967742,0.4838709677419355,0.5806451612903226,0.3548387096774194,0.3225806451612903,0.0
63-916,0.6195121951219512,0.13658536585365855,0.07317073170731707,0.3024390243902439,0.12195121951219512,0.1951219512195122,0.06829268292682927,0.02926829268292683,0.0,0.8731707317073171,0.02926829268292683,0.0,0.9066666666666666,0.7333333333333333,0.9866666666666667,0.3466666666666667,0.5974025974025974,0.7142857142857143,0.5194805194805194,0.4805194805194805,0.012987012987012988
63-923,0.6888888888888889,0.06666666666666667,0.15555555555555556,0.15555555555555556,0.06666666666666667,0.17777777777777778,0.0,0.0,0.0,1.0,0.0,0.0,0.10526315789473684,0.05263157894736842,1.0,0.42105263157894735,0.8947368421052632,0.631578947368421,0.3157894736842105,0.3684210526315789,0.05263157894736842
63-937,0.9162790697674419,0.018604651162790697,0.037209302325581395,0.46511627906976744,0.1813953488372093,0.09767441860465116,0.027906976744186046,0.009302325581395349,0.0,0.9488372093023256,0.013953488372093023,0.0,0.9850746268656716,0.9552238805970149,1.0,0.08955223880597014,0.7910447761194029,0.9402985074626866,0.7611940298507462,0.7014925373134329,0.04477611940298507
63-999,0.698938745112642,0.11375907652206294,0.06870229007633588,0.15714019735617205,0.03760938372742506,0.2699683485384472,0.04021597467883076,0.022342208154905976,0.008750698194004841,0.9180785700986781,0.010426363805622788,0.0001861850679575498,0.7937766931055522,0.6089078706528371,0.984136668700427,0.2733374008541794,0.6045949214026602,0.7061668681983071,0.4486094316807739,0.2750906892382104,0.05562273276904474
64-001,0.7955678670360111,0.08005540166204986,0.043490304709141274,0.3271468144044321,0.12326869806094183,0.19722991689750694,0.01662049861495845,0.018282548476454295,0.007479224376731302,0.9326869806094182,0.023822714681440444,0.00110803324099723,0.8401826484018264,0.8392694063926941,0.9954337899543378,0.26210045662100456,0.6791111111111111,0.7831111111111111,0.6346666666666667,0.41955555555555557,0.029333333333333333
64-923,0.7732732732732732,0.06906906906906907,0.04804804804804805,0.17117117117117117,0.06756756756756757,0.22522522522522523,0.05855855855855856,0.010510510510510511,0.0075075075075075074,0.9129129129129129,0.010510510510510511,0.0,0.8882978723404256,0.026595744680851064,1.0,0.2925531914893617,0.7010309278350515,0.7577319587628866,0.3917525773195876,0.27835051546391754,0.04639175257731959
64-928,0.8102678571428571,0.07366071428571429,0.04017857142857143,0.36830357142857145,0.15178571428571427,0.16741071428571427,0.029017857142857144,0.013392857142857142,0.004464285714285714,0.9352678571428571,0.013392857142857142,0.004464285714285714,0.9047619047619048,0.04081632653061224,0.9931972789115646,0.2585034013605442,0.6405228758169934,0.8169934640522876,0.6274509803921569,0.5359477124183006,0.032679738562091505
64-999,0.6973488233541852,0.12749478701221328,0.05421507298182902,0.15743223115877272,0.05153410783437593,0.2515638963360143,0.015490020851951147,0.007893952934167411,0.004468275245755138,0.9587429252308609,0.013404825737265416,0.0,0.7876200640341515,0.3383137673425827,0.987726787620064,0.29989327641408753,0.7274119448698315,0.6651352730985196,0.4063297600816743,0.2450229709035222,0.03879530372639101
65-001,0.7705882352941177,0.06470588235294118,0.047058823529411764,0.21241830065359477,0.07745098039215687,0.2238562091503268,0.1996732026143791,0.05784313725490196,0.012745098039215686,0.7160130718954248,0.013725490196078431,0.0,0.9424538545059717,0.9109663409337676,0.995656894679696,0.22149837133550487,0.5977130977130977,0.738045738045738,0.5509355509355509,0.26715176715176714,0.06548856548856549
65-002,0.7940133037694014,0.08647450110864745,0.040798226164079826,0.28403547671840357,0.12062084257206208,0.20199556541019956,0.09246119733924613,0.01507760532150776,0.008203991130820399,0.8669623059866962,0.01729490022172949,0.0,0.9299698795180723,0.8704819277108434,0.9962349397590361,0.1746987951807229,0.6268545994065282,0.7603857566765578,0.6305637982195845,0.4235905044510386,0.03115727002967359
